origin,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Réunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Botswana,Lesotho,Namibia,South Africa,Swaziland,Benin,Burkina Faso,Cabo Verde,Côte d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Democratic People's Republic of Korea,Japan,Mongolia,Republic of Korea,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Afghanistan,Bangladesh,Bhutan,India,Iran (Islamic Republic of),Maldives,Nepal,Pakistan,Sri Lanka,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,Belarus,Bulgaria,Czech Republic,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Channel Islands,Denmark,Estonia,Faeroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom of Great Britain and Northern Ireland,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,Portugal,San Marino,Serbia,Slovenia,Spain,The former Yugoslav Republic of Macedonia,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America,Australia,New Zealand,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Guam,Kiribati,Marshall Islands,Micronesia (Federated States of),Nauru,Northern Mariana Islands,Palau,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands
Malawi,,,,   114,,,,,,,  2 103,,,,,,,  7 218,  17 073,  68 618,,,,,,,,,,,   23,,,,,,   713,   51,   545,  13 336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,,,   5,,,,,   12,,,,   38,,,   2,0,   14,,   1,,   8,   31,  10 474,,,,,,,,   8,,,   55,,,,   3,,   21,   13,   77,,,,,   110,   43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   1,,,,,,,,,,,,   293,,,,   360,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,   36,,,,,,,,,,,,,,,,,,,,,  1 651,  2 445,  6 980,,,,,,,,   889,,,,,,,,,,,,,,,,,,,,,,,,  3 195,  10 234,,   127,  4 684,,   51,  40 306,   80,  5 406,,,,   245,  195 072,  1 293,   134,   13,,  92 533,,  12 295,,   46,,,   22,,,,   11,,,,   983,,,,,,,,   64,,,,0,   3,0,   11,,,   557,,,,   298,,,   142,   5,   171,,   7,,   182,   755,  42 754,,,,,,   63,,   67,   16,,   10,,,,   41,,   266,   190,  1 901,  2 616,,   26,,  2 091,  1 121,,,,,,,,   6,,,,   36,,,,,,,,,,,,,,,,   3,,,,   23,,   12,   6,   5,,   22,,   12,,,,,   30,,,   30,   13,  15 453,,,  33 834,  72 135,  8 661,,,   115,   133,,,,,,,,,,,,,,,,,
Maldives,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,,,   4,,,,,,,,,   54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 810,,,,,   17,,,,,,,,,,,,,,,,,,,,   1,0,,,,,   135,,,,   3,,,   1,,   1,,,,,   5,   27,,,,,,   8,,   1,,,,,,,,,   5,   1,   4,,,,,,   31,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,   1,,,,,,,,,,,,0,,,,   80,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,0,,,   220,,,,   351,,  4 678,,,  17 028,,,   241,   688,,  1 058,   200,   194,,,,   104,,   726,  37 576,   9,  422 476,  5 697,  3 592,  15 549,,  1 970,,  6 776,  31 142,  14 578,,  28 161,  1 953,  1 539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,   4,   8,   35,,0,   196,,,,   5,,,   3,0,   6,,   2,,   5,   40,   16,,,,,,   15,,   43,,,   12,,,,   351,,   54,   144,  49 299,   634,,,,   48,   173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   10,,,,,,,,,,,,   111,,,,   24,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   8,,,,,,,,,,,,   10,,,,   1,   2,0,,,,   575,   1,,,   48,,,   8,0,   23,,   2,,   37,   68,  30 631,,,,,,   227,,   257,,,   6,,   6,,   95,,   60,   246,   910,   246,,   13,,   106,   127,,,,,,,,,,,,   33,,,,,,,,,,,,,,,,,,,,,,,   4,   6,,   8,,,,,,,   14,,,,,  9 773,,,  9 614,  57 407,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,   1,,,,,0,,,,,,,,,,,,   2,,   2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,  1 086,   26,,,,,,,   88,,,   126,,   97,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,   8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,,0,,,,,   52,   51,,  5 803,,,,,,,   198,,0,,,,,   3,,,,,,,,,,   5,,,,  4 570,,,,,,   38,,   288,,,,   20,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,   965,,,,,,   152,   433,  1 088,,   376,   282,,,,,,,,,  9 873,  2 005,   9,   384,   359,,  14 942,,,,,  89 862,   142,   68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   154,,   90,,,,,,,,,,,,   1,   1,   9,,,,,,,,   4,,,0,,   2,,,,   3,   15,   3,,,,,,   3,,   46,,,   8,,,,   702,,   19,   555,  11 287,,,,,   163,   74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   10,,,,,,,,,,,,   24,,,,   16,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,  1 008,,   258,,,,   113,,,,,,,,,,,,,,,,,,,   292,,   158,  4 711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 547,,,,,,,,,   3,,,,,,,,,,,,,,,,0,   1,   21,,,,   273,,,,   83,,,   13,   3,   74,,0,,   145,   104,  22 883,,,,,,   45,,  9 594,,,,,,,   19,,   63,   616,  38 101,,,   51,,   145,  1 750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,  5 095,,,,  20 215,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,  1 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,   35
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   71,,,,,,,,,   78,,,,   4,,,,,,,,,,,,,,,,,,,,,,,,   786,,,,,,,,,   31,,,,,,,,,,,,,,,,,   16,,,  1 422,,,,,,,,,   37,,,,   2,   19,   20,   165,,   4,   173,   3,,,   239,,,   67,   10,   59,,   6,,   208,   847,   704,,,,0,,   379,,  4 331,,,   62,,   2,   5,  9 649,,   832,   828,  6 305,  3 437,0,   27,,   658,  2 539,,   3,,   21,,   10,,   13,   889,,,  1 737,,,   306,,,,  1 907,,   4,,,,,,  3 025,  2 081,  2 457,  5 402,   795,,   925,  1 393,  2 332,  8 125,   792,   746,  1 908,   656,,,,  3 059,  1 067,,   719,  2 886,,  18 610,,, 4 298 014,   777,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,   15,,   1,,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   9,,,   1,,,,,,,,,,,,   5,,,  2 741,   6,,,,,,,  2 962,,   92,,,  1 720,   166,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   62,   176,,,,,,,,   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,0,0,   3,,,   192,,,,   5,,,   1,0,   1,,,,,   11,   60,,,,,,   11,,   154,,,,,,,   82,,   14,   5,  3 282,,,,,   23,   116,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,   23,   2,,   4,,,,,,,,,,,,   130,,,,   37,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   46,,,   96,   23,   140,   386,   234,   43,,  21 142,   11,,,   2,   28,,   1,   5,   61,,   87,   79,0,   30,   40,,,,,,   9,,   5,,,,,,,   10,,   993,   41,   288,,,,,   27,   148,,,,,,,,,,,,,,,,,,,,,,,,,,,,   7,,,,,,,,0,,0,,,,,,,,,,,,   24,,,,   36,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   7,   29,0,   275,,,   538,   10,,,  1 900,,,0,,0,,,,0,0,   197,,,  3 727,0,,,,  1 458,,,0,,  9 511,  2 646,0,  9 247,  12 031,  1 304,   949,  30 932,   78,  2 301,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,   241,,0,,,,  1 297,,,,,,,,,,,,,,,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,  1 290,,,,,,   2,,,,,,,,,,,,,   5,,,,,,,   135,   844,,,,,   108,,,,   59,,   6,,,,,,,   186,   14,,,,,   649,,   3,,,,,,,,,,   10,,,,,,,,,,,,   384,,,  3 493,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,   221,,,   527,  1 505,,,  7 275,,,,,  1 058,,,,,,,,,,,,   306,,,,  3 405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   257,   16,,   451,  157 029,   398,  1 594,   182,,  1 300,,,,   113,  1 948,,,   19,   26,   38,   221,,   4,  1 755,   3,  2 100,,  3 004,,,   412,   21,   52,,   3,,  2 393,  3 529,  8 857,,   296,,0,  2 021,   762,,  169 285,   83,,   395,,   3,   3,  133 341,,  1 061,  135 422,  713 987,  72 631,,   125,,  114 850,  8 362,,,,,,,,,,,,   21,,,,,,,,,,,,,,,,   17,,,,   186,,   24,   466,   6,,   62,   73,   16,,,,,   27,,,  1 551,,  16 116,,,  15 541,   984,,,   479,,,,,,,,,,,,,,,,,,,
Mozambique,,,,  3 537,,  1 043,, 1 075 410,,,,,,,,,   234,  144 353,  41 255,  478 855,   97,,,,,,,,   243,,   14,,,,,,   184,   32,   203,  346 433,  46 196,,,   51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,   6,   1,   12,   18,,,   111,,,,   65,,,   6,   4,   8,,0,,   22,   154,   467,,,,,,   39,,   58,,,  74 609,,,,   101,,   37,   21,  1 048,,,,,   216,   709,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,   25,0,   987,   15,,,,,,,,,,   47,,   691,,,,   386,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   9,,,,,,,,,   211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   88,,   24,,   404,  4 568,,   55,,  229 504,,   963,,  125 851,   16,  85 706,,,,  3 598,,,,,   11,,,,   2,,,,,  89 529,,,   18,,,,,   1,   8,,,,   411,,,,   43,,,   7,0,   12,,,,   30,   98,  10 359,,,,,,   42,,   28,,,,,,,   7,,   39,   27,   673,   276,,,,   86,   110,,,,,,,,,,,,,,,,,,,,,,,,,,,,   10,,,,,,   23,   19,   1,,   2,,,,,,,,,,,,  2 337,,,  19 835,  9 884,   363,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,   119,,,,,,,,,,,,   370,  2 360,,   345,,,,,,,,,,   379,,,,,,   286,   5,,  10 904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,,   1,   2,0,,,,   106,,,,   10,,,   51,   10,   7,,,,   19,   37,   172,,,,,,   8,,   13,,,,,,,   7,,   101,   7,   104,,,,,   68,   127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,,,   2,,,,,,,,,,,,   167,,,,   265,,,,,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,   1,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,,,   1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,   19,,,,   463,,,,,,,,   921,,,,,,,,,,   3,,,,
Nepal,,,,,,,,,,,,,,   27,,,,,,,,,,,,,,,,,,,,,,,,,,   125,,,,,,,,,,,,,,,,,,,,,,,,,  6 254,,,,,   10,  3 665,   21,,,  14 931,,   74,,  5 763,,   106,,  9 670,   334,  518 212,,,,,   4,,,   228,   14,,,,   9,  1 416,,,   459,  177 661,,,,  1 730,,,   1,   4,0,   13,,,   573,,,,   37,,,   16,   8,   26,,   1,,   52,   121,   828,,,,,,   29,,   11,,,   9,,,,   45,,   323,   45,   707,   867,,   30,,   206,   353,,,,,,,,,,,,,,,,,,,,,,,,,,,,   7,,,,,,,,0,,   7,,,,,,,,,,,,   120,,,  2 262,   404,   72,,,,,,,,,,,   156,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,   215,,,,,,   19,,,,,,,,  1 068,  3 048,,,,,   188,,   763,  17 440,,,,   62,,,   131,,,   298,,,,,,,,,,,   78,,,,   683,,,   749,,,   247,   14,   928,,,,   82,,   151,,,,,   9,,,,,,,,,   174,   120,,,  4 337,   147,  1 080,,   611,   407,,,,  9 916,  1 320,,,   12,   135,   181,  1 368,,   59,   371,   11,,,  2 389,,,   414,   112,  1 642,,   16,   33,  3 268,  3 561,  28 913,,   190,,   232,,  5 508,,  17 068,   72,,  1 823,,   92,   261,  13 912,,  4 668,  61 047,  34 420,  116 092,   40,  3 092,,,  14 877,,   17,  2 096,   36,,  6 705,,   12,,,   4,   578,,   318,,,,,   53,,   9,,0,,,,,   381,   71,   83,   69,   638,   117,   79,   943,   2,  3 535,   462,   425,   276,,,,,   484,  1 312,,   649,,  124 373,,,  96 198,  104 866,  23 845,,,,,,,,,,,,,,   10,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,   19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   3,,,,,,,,,,,,   58,,,,  1 190,,,,,   129,   163,,,,,,,,,,  1 745,,,,,,   843
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   114,,,,,,,,   74,  1 402,   4,,,,,,,,,,,,,,,,,,,,   166,,,,  1 506,,,  1 275,,   39,   119,,,,   746,,   117,  1 131,  2 439,   139,,,,   11,,,   6,,,   1,,,,   23,,,,   28,,,,,,,,   70,,,,   5,   9,0,   71,,,   196,   1,,,   309,,,   36,   86,   192,   48,   5,,   266,   499,  40 222,,,,   82,,   567,,   88,   9,,   13,,   2,   1,   128,,   244,   125,  1 221,   916,,   23,,  2 833,  1 017,,   3,,   14,,   3,,   18,,,,,,,,,,,,,   1,,,,,,,   14,,,,   35,,   17,   24,   34,,   105,   48,   38,   37,,,,   67,,,   16,,  7 182,,,  15 415,  298 309,,  1 211,   98,  2 540,   141,   154,,   42,,,   32,,,   237,  2 155,   99,   233,  1 041,   103,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,   15,   4,   8,,,,   71,,,,   36,,,   5,   1,   3,,   1,,   35,   317,   31,,,,,,   41,,   78,,,,,,,  1 002,,   115,   32,   489,   653,,,,   133,   244,,,   19,   9,,,,   240,   595,,,   415,,,,   121,,,   460,,,,,,,,,  99 153,  3 893,  3 726,  142 802,  3 096,,  4 553,   145,   66,   329,   168,   470,   131,,,,,   114,,,  2 526,,  6 199,,,  168 659,   725,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,  2 614,,,,,,,   97,   275,,,,,,,,   21,,  9 802,  8 275,,  50 297,,  4 229,  1 393,,  1 127,  3 571,   135,,  35 442,,  1 397,   161,  10 540,,,   37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,,   8,   1,   15,,,,   27,,,,   3,,,   7,0,   25,,,,0,   9,   13,,,,,,   33,,   4,   10,,,,,,   18,,   17,   989,  1 709,   223,,,,   52,   72,,,,,,,,   9,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,   1,,   2,,,,,,,,,,,,   48,,,,   15,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,   25,,0,,,   160,,,  105 140,,  14 822,,,   91,  7 381,,,   586,  1 674,,  23 208,   116,,   108,,  1 453,  16 073,,  19 972,  2 542,   84,  31 352,,  14 876,   910,,  2 393,  1 590,,  38 319,,,   701,  2 116,  9 708,,,,,,,,,,   193,,0,,,,,,,   45,,,,,,,,  1 286,,,,,,,,   187,   76,,,,   23,  1 160,,,   311,,,,   70,  1 417,,,   31,   17,   169,   281,,   1,  1 165,   1,,,   219,,,   94,   3,   837,,   4,   5,   306,   550,  45 984,,,,0,,  1 565,,  11 859,   51,,   42,,,   2,   704,,  4 673,   942,  2 710,  13 230,,,,  1 410,  1 315,,   35,,   30,,,,   3,,,   18,   42,,,,,,,,,   6,,,   271,,,   30,   3,,,,   69,   11,   7,   93,   7,,   11,   42,   17,,,,,,,,   89,   25,  3 004,,,  55 350,   959,,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   2,,,,,,,,,,,,,,,,   243,  5 578,,,,,,,,,,,,,,   9,,,   7,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   254,,,,,,,,,,,,,,,,,,,,,   14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   8,,,,,,,,,,,,,,,,   6,,,,,,,  2 019,,,   103,,,   93,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   106,   302,,,,,   116,,   79,   533,,,,,,,,,,,,,,,,,,,,,,,,,,,,   360,,,,,,,,,   100,,   812,,,,  4 240,,,,,,,   1,,,,   50,,,,   8,,,,,,,,   860,,,   49,   4,   24,   118,   447,,   120,  1 134,   3,,,  12 613,,   151,   904,   683,   59,,   22,   43,,  33 367,  8 506,,,,0,,   958,,   159,   5,,   82,,   1,,  3 145,,   533,   761,  3 257,  6 286,   6,   171,,  1 733,  1 612,,,,   13,,   2,,,,,,   67,,,,,,,,,,,,,,,,   42,,,,   58,,   7,   129,   92,   230,   184,   61,   79,,,,,   74,,,   80,,  7 926,   108,,  42 240,  2 622,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   436,  1 246,,,,,,,,   33,,,,,,,,,,,,,,,,,,,,,   57,,,,,,,,,,,,,,,,   93,,,,,,,,,,,,,   3,,,,   16,,,,   540,,   247,,,,  9 110,,   6,,,,0,,   14,,,,   61,,,,   1,,,   2,,   9,,,,   10,   5,   281,,,,,,   3,,   38,,,,,,,   1,,   17,   1,   21,,,,,   175,   15,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,   1,,   31,,,,,,,,,,,,   14,,,,   45,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,   1,,   866,,,   23,,,   224,   407,,,,,,,,,,,,,   387,  1 104,,,,,   145,   308,   246,  1 523,,,,,,,   47,,,,,,,,,,,,,,   178,,,  1 817,  5 062,,   72,  2 068,   12,   269,   378,   19,  5 486,,  3 208,  5 171,   262,  12 345,  1 086,   190,   30,  8 107,,   10, 1 921 278,  10 729,   79,  2 371,,   173,,,  20 949,   129,,   525,,  5 168,  129 928,  2 361,  35 675,   334,  556 715,,,   275,  158 710,,   24,   23,   23,   205,   85,,   1,  1 683,   2,,,  6 946,,,   139,   8,   293,,   16,   35,  10 470,  2 435,  228 321,,,,,,  5 947,,  6 808,   54,,   250,,,   3,  2 213,,  2 651,  1 647,  15 579,  26 620,,,,  6 717,  1 918,,   7,,   15,,,,   35,,,,   166,,,,,,,,,   8,,,,,,,   6,,   17,,   23,,   43,   10,   55,   127,   42,   39,   18,,,,,   51,,,   12,   13,  24 161,,,  91 889,  5 949,   28,  1 294,,,,,,,,,,,,,,,,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,   1,,,,,,,,,,   8,,   2,,,,,,,,,   1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,   5,,,,,,,,,,,  1 232,,,   378,,  1 332,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,,,,,,,,,,,,,,   4,   2,   8,   34,,,   81,,,,   25,,,   10,   1,   3,,0,,   12,   157,   68,,,,,,   286,,   143,,,   35,,,,  1 236,,   34,   35,   358,   207,,,,   101,   258,,,,   17,,,,   43,   184,,,   699,,,,   73,,,  1 873,,   12,,,,,,,  8 692,   557,   242,   190,  25 641,   442,,   376,   92,   974,   351,  2 073,   321,,,,,   246,,,  1 470,,  1 118,,,  85 737,   118,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,0,0,,,,,,,,   4,,,   1,0,   3,,,,,   18,   147,,,,,,   3,,   3,,,,,,,   1,,   33,   3,   108,,,,,0,   158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   4,,,,,,,,,,,,   106,,,,,  1 160,,,,  1 110,   50,,,,,,,,,   10,,,   24,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,,0,   8,   5,,,0,   104,,,,   28,,,   7,   1,   5,,   1,,   50,   102,   70,,,,,,   72,,   53,,,   6,,,,   907,,   125,   62,   755,   636,,,,   78,   356,,,,,,,,,,,,   61,,,,,,,,,,,,,,,,   58,   36,   72,   27,   290,,   38,  257 243,  1 173,  21 394,   641,   237,   81,,,,,   389,,  1 241,   359,,  4 702,,,  6 057,   277,,,,,,,,,,,,,,,,,,,,,,
